gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane,specificity_score
POSTN,40.647984,4.2948456,0.0,0.0,0.9952290076335878,0.5707491082045184,0.4244798994290694,True,False,1.823075620309477
COL11A1,31.28986,3.1498263,6.410959313954246e-215,7.41416391280681e-212,0.7719465648854962,0.19833531510107016,0.573611249784426,True,False,1.8067757937915876
ADAM12,37.075706,2.7825687,6.921268042358439e-301,5.8031371901154326e-297,0.9293893129770993,0.3895362663495838,0.5398530466275154,True,True,1.502178186453316
SDC1,30.134806,2.5034494,1.6965519887858688e-199,1.625684588568585e-196,0.7843511450381679,0.2473246135552913,0.5370265314828766,True,True,1.344418769507261
LOXL2,29.63018,2.472269,6.10683190359378e-193,5.38976127322969e-190,0.7853053435114504,0.272294887039239,0.5130104564722114,True,False,1.268299878083434
ASPN,33.115208,2.9961889,1.7954726464781099e-240,3.763535101098928e-237,0.9723282442748091,0.5521997621878716,0.42012848208693754,True,False,1.2587842857855205
TGFBI,31.330544,2.6053119,1.7912940107486128e-215,2.145586376160249e-212,0.8377862595419847,0.36076099881093937,0.47702526073104534,True,False,1.2427995743467035
COL8A1,26.949116,2.4412298,5.842164544614705e-160,3.437447622759438e-157,0.7270992366412213,0.22425683709869204,0.5028423995425293,True,False,1.227553860650024
SULF1,26.612217,2.3552997,4.902199956112269e-156,2.5689059707514575e-153,0.7356870229007634,0.2558858501783591,0.4798011727224043,True,False,1.1300755635596549
ADAMTS6,18.057451,3.0180337,6.893327129853471e-73,8.111873869509674e-71,0.42270992366412213,0.06397146254458977,0.35873846111953234,True,False,1.0826847805364412
TNC,25.006353,2.1611798,5.2140252398474557e-138,1.9216261372967468e-135,0.7604961832061069,0.3010701545778835,0.4594260286282234,True,False,0.9929022439181047
EDIL3,28.975119,2.0330796,1.3545766205184122e-184,1.0816616833082503e-181,0.8549618320610687,0.3745541022592152,0.4804077298018535,True,False,0.9767071667568098
COL12A1,35.1501,2.4041142,1.1583139633673295e-270,4.3163926337126105e-267,0.9732824427480916,0.6147443519619501,0.3585380907861415,True,False,0.8619665319246925
INHBA,24.215506,1.8534862,1.5274845051944852e-129,4.832903333510627e-127,0.7519083969465649,0.3112960760998811,0.4406123208466838,True,False,0.8166688475616529
SRPX2,20.582,2.0031052,3.979069039559618e-94,6.986911908311542e-92,0.583969465648855,0.19096313912009513,0.3930063265287599,True,False,0.7872330019870944
ADAMTS14,16.470667,2.3574831,5.960980009755432e-61,5.462277255933817e-59,0.42366412213740456,0.09488703923900119,0.32877708289840335,True,False,0.7750864325705755
SULF2,28.118933,1.7403673,5.749505883385037e-174,4.102700602488668e-171,0.8912213740458015,0.4689655172413793,0.4222558568044222,True,False,0.7348802826112117
ACAN,15.389499,2.3061938,1.925186109135328e-53,1.5192209818395443e-51,0.3979007633587786,0.08989298454221166,0.30800777881656694,True,False,0.7103256386622515
NRP2,22.986656,1.6503507,6.3387061666907575e-117,1.6608400579568328e-114,0.7595419847328244,0.36171224732461355,0.39782973740821087,True,True,0.6565585815896029
NRG1,14.8255,2.1632729,1.0023106755083144e-49,7.291864519565694e-48,0.39217557251908397,0.09583828775267539,0.2963372847664086,True,True,0.6410584048496165
TGFB3,21.362104,1.488442,3.0094505168946603e-101,6.007794728310305e-99,0.7490458015267175,0.37883472057074913,0.3702110809559684,True,False,0.5510377010737252
COL27A1,15.707149,1.740156,1.351202715941582e-55,1.1079862270720972e-53,0.48282442748091603,0.1690844233055886,0.31374000417532744,True,False,0.5459565678035364
MFAP2,27.368505,1.5663347,6.504377055335502e-165,4.277329366310629e-162,0.941793893129771,0.6,0.34179389312977104,True,False,0.5353636434060017
METRN,24.511335,1.5297617,1.1183520953633806e-132,3.788615411545158e-130,0.8530534351145038,0.5063020214030916,0.34675141371141227,True,False,0.5304470224144544
SSC5D,21.800344,1.4132837,2.3027557643862163e-105,4.826863926624058e-103,0.8272900763358778,0.4589774078478002,0.3683126684880776,True,False,0.5205302929812717
COL7A1,13.244738,1.9159883,4.839725937708656e-40,2.6740482454509534e-38,0.3816793893129771,0.11629013079667062,0.2653892585163065,True,False,0.5084827211823313
BGN,29.661676,1.9550574,2.3979343329902216e-193,2.173565450265569e-190,0.9837786259541985,0.7331747919143876,0.2506038340398109,True,False,0.48994487584329216
SPON2,31.035124,1.9292012,1.8113581355746504e-211,1.959655779061375e-208,0.9675572519083969,0.7165279429250891,0.2510293089833078,True,False,0.4842860554993846
COL16A1,26.613092,1.5378888,4.78901971255219e-156,2.549430843167863e-153,0.9484732824427481,0.633769322235434,0.31470396020731406,True,False,0.4839796848092873
CILP2,15.863561,1.427735,1.1328416338649097e-56,9.498310679140334e-55,0.5305343511450382,0.2019024970273484,0.3286318541176898,True,False,0.4691991907236603
TGFB1,21.327671,1.3080435,6.286071912058091e-101,1.2328788291614283e-98,0.808206106870229,0.4592152199762188,0.3489908868940102,True,False,0.45649525415301057
COMP,17.836885,1.5626171,3.655133906911408e-71,4.169587788095061e-69,0.8406488549618321,0.5500594530321047,0.2905894019297274,True,False,0.45407995793414324
BMP1,25.68828,1.4279516,1.5803567533278438e-145,6.925838965049892e-143,0.8959923664122137,0.5804994054696789,0.31549296094253476,True,False,0.4505086702665254
LRRC17,16.849636,1.3426191,1.0556108970322918e-63,1.0351777270371053e-61,0.6479007633587787,0.3234244946492271,0.32447626870955154,True,False,0.4356480233641159
FN1,40.47804,2.8433356,0.0,0.0,0.9980916030534351,0.8470868014268728,0.15100480162656238,True,False,0.42935733254081737
C1QTNF6,20.083113,1.2073047,1.0368884955638794e-89,1.688114872049582e-87,0.8673664122137404,0.5146254458977407,0.3527409663159997,True,False,0.42586583219858604
NID2,16.821066,1.2956893,1.7105381712730643e-63,1.662841425743653e-61,0.6316793893129771,0.3039239001189061,0.327755489194071,True,False,0.4246692949193756
SFRP4,16.479374,1.3272723,5.161603850202915e-61,4.7427361624138455e-59,0.7891221374045801,0.48656361474435195,0.3025585226602282,True,False,0.4015775450310389
COL10A1,13.260218,1.4988658,3.937496600305369e-40,2.189979452421915e-38,0.43416030534351147,0.16646848989298454,0.2676918154505269,True,False,0.40123411858105945
NPTX2,14.233009,1.2931025,5.716735673206504e-46,3.69417882481695e-44,0.491412213740458,0.1985731272294887,0.29283908651096935,True,False,0.3786709556916992
