sample,condition,n_cells,mf_score_mean,mf_pos_frac,dataset
PWH26D0,Skin,724,-0.09628478634799664,0.11602209944751381,Wound time-course
PWH26D1,Wound1,255,-0.2338663362294686,0.12549019607843137,Wound time-course
PWH26D7,Wound7,920,0.4212836907039518,0.5880434782608696,Wound time-course
PWH26D30,Wound30,843,1.052674219493562,0.7283511269276394,Wound time-course
PWH27D0,Skin,521,-0.08838505471180916,0.1401151631477927,Wound time-course
PWH27D1,Wound1,497,-0.14048283104034429,0.16297786720321933,Wound time-course
PWH27D7,Wound7,1992,0.33189965213201744,0.4703815261044177,Wound time-course
PWH27D30,Wound30,2096,1.4914821793888102,0.9007633587786259,Wound time-course
PWH28D0,Skin,907,-0.1180341736426183,0.10694597574421169,Wound time-course
PWH28D1,Wound1,260,-0.0945608422919944,0.16923076923076924,Wound time-course
PWH28D7,Wound7,909,0.07992193025490144,0.27832783278327833,Wound time-course
PWH28D30,Wound30,2335,1.3615303530220446,0.8573875802997859,Wound time-course
KL1,Keloid,1599,0.35709659993339277,0.3595997498436523,Deng (keloid)
KL2,Keloid,1655,0.8828148888944877,0.602416918429003,Deng (keloid)
KL3,Keloid,1999,1.0347762321622085,0.7693846923461731,Deng (keloid)
NS1,Normal scar,3455,-0.09076352212559528,0.11837916063675832,Deng (keloid)
NS2,Normal scar,2571,-0.03843715051997481,0.15246985608712563,Deng (keloid)
NS3,Normal scar,898,-0.1420956679759895,0.07015590200445435,Deng (keloid)
keloid_1,Keloid,3384,0.10456892717698868,0.3900709219858156,Direder (keloid)
keloid_2,Keloid,8887,0.9620457883502725,0.813210307190278,Direder (keloid)
keloid_3L,Keloid,5589,0.25999285109163844,0.43764537484344246,Direder (keloid)
keloid_3R,Keloid,8342,0.713387599722565,0.6812514984416207,Direder (keloid)
scar_1,Normal scar,484,-0.7229911232036852,0.01652892561983471,Direder (keloid)
scar_2,Normal scar,3862,-0.5153027707943771,0.03625064733298809,Direder (keloid)
scar_3,Normal scar,4383,-0.38701306838558125,0.08281998631074607,Direder (keloid)
skin_7,Healthy skin,2782,-0.542457359625694,0.039539899352983465,Direder (keloid)
